CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
연잎수육,삶기, 연잎 통삼겹살 마늘 양파 적양배추 베이비채소 고추가루 식초 설탕 액젓 후추
옥수수,삶기, 흑찰옥수수 물
콩국수,삶기, 두부 우유 호두 정도 오이 당근 토마토 깨소금 
옥수수삶는법,삶기, 옥수수 물 소금 신화당 
냉면,삶기, 냉면 육수 열무 물김치 
콩국수,삶기, 콩 소면 오이 달걀 토마토 물 소금 통깨 토마토 
콩국수,삶기, 메주콩 소면 명월초 천도복숭아
문어삶기,삶기, 문어 무 파
도토리묵국수,삶기, 도토리묵 국수 멸치육수 달걀 김가루 묵은지 간장 깨소금 참기름 
율란,삶기, 밤 계피가루 견과류
돼지껍데기,삶기, 돼지껍데기 된장 소주 월계수잎 불고기맛 불닭갈비맛
돼지고기수육,삶기, 삼겹살 월계수잎 된장
문어삶는법,삶기, 문어 설탕 식초 
물국수,삶기, 국수면 당근 호박 어묵 단무지 계란지단 육수 멸치 무 다시마 멸치 젓갈 장 진간장 참기름 고춧가루 파 청양고추
파스타샐러드,삶기, 파스타면 샐러드채소 오리엔탈드레싱 발사믹드레싱 칠리소스 케찹 하인즈칠리소스 
스파게티삶는법,삶기, 면 물 소금 올리브유 
한방수육,삶기, 껍데기붙은삼겹살 계피 엄나무슬라이스 당귀 홍삼진액 대파 인스턴트커피 백김치 굴소스 올리브유 후추 
소고기수육,삶기, 양지머리 갓김치 당귀 인스턴트커피 물 조리도구 고기묶기용실
계란초,삶기, 계란 오이 소금 식초 초고추장 깨 참기름
감동란,삶기, 물 천일염 달걀 식초 소금 
렌틸콩양상추샐러드,삶기, 렌틸콩 마요네즈 레몬즙 소금 양상추 어린잎 소스 발사믹식초
참치만두,삶기, 시판용만두피 참치캔 양파 씻은김치 계란 숙주무침
돼지고기보쌈,삶기, 돼지고기 사과 양파 양배추 통마늘 통후추 월계수잎 된장 소주 
돼지고기수육,삶기, 돼지 사태 배추김치 갓김치 마늘장아찌 대파 연잎 당귀 인스턴트커피 홍삼액기스 물
밥솥계란,삶기, 계란 소금 
갓김치보쌈,삶기, 오겹살 엄나무 당귀 갓김치 무생채 고춧가루 까나리액젓 매실청 식초 다진마늘 깨 참기름 부추양파무침 간장 연잎효소 식초 참기름 보쌈 삶을때 연잎효소 간장 홍삼엑기스 인스턴트커피 
저수분수육,삶기, 돼지고기삼겹살목살 양파 파 월계수잎 다용도시즈닝
콩국수,삶기, 흰콩 물 깨 잣 호두 생수 오이 토마토 밀가루 소금 생수 덧밀가루 얼음 비트 소금 
보쌈,삶기, 돼지앞다리살 월계수잎 파 양파 다진마늘 인스턴트커피가루 된장 물
열무국수,삶기, 열무김치 냉면육수 물 오이 계란 소면
감자샐러드,삶기, 감자 오이 계란 당근 마요네즈 후춧가루 올리고당 소금 
돼지고기수육,삶기, 돼지고기 대파 양파 다진마늘된장소주
계란초,삶기, 달걀 양배추 당근 오이 초고추장 깨
삼겹살보쌈,삶기, 삼겹살 앞다리살 양파 대파 통마늘 통후추 월계수잎 된장 인스턴트커피
돼지고기수육,삶기, 돼지고기 대파 양파 다진마늘 된장 소주
냉이국수,삶기, 갓냉이동치미 소면
감자카레샌드위치,삶기, 감자 다진 소고기 굵게 다진 양피 식빵 카레가루 케찹 설탕 모두 
에그샌드위치,삶기, 달걀 소금 후추 마요네즈 식빵 버터
치킨아몬드샌드위치,삶기, 닭안심 양상추로메인 토마토 식빵 마요네즈 후추 설탕 씨겨자 마요네즈
열무국수,삶기, 열무김치 계란 오이 열무김치국물 멸치육수 소면 식초 설탕 통깨
수육삶는법,삶기, 돼지고기 커피가루 월계수잎 생강 
돼지고기보쌈,삶기, 돼지고기 된장 마늘 파 통후추
돼지고기보쌈,삶기, 돼지고기 앞다리살 족발 종물 쌈채소 취향껏 족발 종물 물 간장 설탕 올리고당 통마늘 대파 생강 양파 엄나무 월계수잎 계피가루 건고추 통후추 새우젓장 자하젓 물 대파 다진것 고춧가루 깨 쌈장 된장 고추장 참기름 매실청 깨 취향껏 잣 취향껏
마카로니샐러드,삶기, 마카로니 옥수수알 완두콩 당근 건포도 마요네즈 홀그레인머스터드 설탕 소금 
매쉬드포테이토,삶기, 감자 버터 우유 소금 후추 파슬리
