CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
숙주나물,무침, 숙주나물 오이 양파 청양고추 숙주나물 소금 다진 마늘 참기름 채소간장절임 간장게장절임장 식초 설탕
바지락초무침,무침, 냉동 바지락살 오이 양파 당근 고추장 고춧가루 식초 설탕 다진 마늘 
훈제오리냉채,무침, 당근 오이 홍고루 게맛살 계란 훈제오리 겨자소스 겨자 물 매실청 꿀 후추가루 
닭겨자채,무침, 닭가슴살 오이 배 당근 표고버섯 죽순 달걀 대파 생강 소금 후춧가루 참기름 겨자장 겨자가루 뜨거운 물 식초 설탕 진간장 참기름 소금 
오리훈제무침,무침, 훈제오리 부추 양파 피망 인삼 땅콩잣호두추가가능 요구르트 겨자 레몬즙 소금 
오징어초무침,무침, 오징어 무 오이 양파 작은거 당근 미나리 통깨 깻잎 고춧가루 고추냉이 초고추장 고추장 식초 설탕 다진마늘 매실철 생수 
콩나물겨자무침,무침, 데친 콩나물 연겨자 식초 설탕 다진마늘 다진파 참기름 소금 
참나물무침,무침, 데친 참나물 홍고추 된장 들기름 조선간장 천일염 다진마늘 다진파
냉이무침,무침, 데친 냉이 시판 초고추장 깨소금 참기름 
무파래초무침,무침, 파래 무 배 무 밑간 식초 설탕 소금 식초 설탕 까나리액젓 다진마늘 다진파 깨 
과일샐러드,무침, 사과 키위 귤 단감 딸기 옥수수통조림 땅콩 드레싱 마요네즈 레몬즙
반건조오징어무침,무침, 반건조오징어 무 대파 흰부분 통깨 천일염 까나리액젓 고춧가루 물엿 다진 마늘 생강즙 설탕 소금 참기름 
느타리버섯들깨무침,무침, 느타리버섯 데치치 않은 기준 간장 들깨가루 참기름 다진마늘 다진파 후추가루 
멕시칸샐러드,무침, 리챔 사과 양파 크리미 당근 오이 빨간 미니 파프리카 마요네즈 머스터드 소금 후추 레몬즙 
꼬시래기초고추장무침,무침, 꼬시래기 양파 당근 고추장 식초 설탕 생강즙 다진 마늘 통깨 다진파 
오뎅콩나물잡채,무침, 콩나물 당근 오뎅 일반간장 참기름 참기름 마늘 후추 맹물 맛술 
오이무침,무침, 오이 양파 고춧가루 매실청 식초 다진마늘
고구마깍두기,무침, 고구마 대추 밤 실백 단촛물 물 설탕 식초 소금 깍두기 고춧가루 액젓 새우젓 다진 마늘 양파즙 
진미채무침,무침, 백진미 양파 청양고추 대파 고추장 고춧가루 진간장 올리고당 청주 다진마늘 참기름 통깨 천일염 
배추막김치,무침, 배추 쪽파 소금 찹쌀풀 물 찹쌀가루 절임 소금 물 고춧가루 까나리액젓 새우젓 찹쌀풀 설탕 다진 마늘 다진 생강 
골뱅이소면무침,무침, 골뱅이 소면 참기름 소면 코팅용 통깨 미나리 깻잎 로메인 파채 적채 당근 오징어채 오이 꽈리고추 청고추 참기름 골뱅이 국물 매실엑기스 고추장 고춧가루 다진마늘 미림 간장 식초 물엿 소금 후추 통깨 
쥐포무침,무침, 왕쥐포 간장 고춧가루 다진 마늘 송송 대파 물엿 참기름 통깨 후추 
돌나물묵무침,무침, 돌나물 동부묵 홍고추 청포묵 밑간 소금 참기름 간장 다진 파 고춧가루 다진 마늘 설탕 참기름 식초 소금 
햄김치까나페,무침, 통조림햄 송송 썬 김치 후리카케 설탕 
물미역무침,무침, 물미역 오이 설탕 식초 고추장 다진 마늘 물엿 통깨 참치진국 
시금치참깨무침,무침, 시금치 참깨 갈은거 참기름 소금 
취나물된장무침,무침, 취나물 된장 고추장 다진마늘 참기름 올리고당 소금 
황태무침,무침, 황태포 고추장 참기름 다진마늘 깨 
봄동겉절이,무침, 봄동 다진마늘 고추가루 다진파 설탕 젓갈
굴배추겉절이,무침, 배추 먹을만큼 부추 굴 고춧가루 깨소금 다진마늘 액젓 식초 설탕과 물엿을 
돌나물무침,무침, 돗나물 오이 양파 고추장 설탕 다진마늘 다진파 식초 
냉이고추장무침,무침, 냉이 크게 소금 고추장 설탕 물엿 식초 다진마늘 고춧가루 
오징어무침,무침, 오징어 깻잎 채썬배 양파 고추 고추장 고춧가루 유자청 식초 설탕 겨자갠거 다진마늘 참기름 통깨 
참나물무침,무침, 참나물 설탕 식초 고춧가루 다진 마늘 까나리액젓 참치진국 통깨 
오징어무침,무침, 오징어 오이 양파 고추장 고추가루 진간장 설탕 식초 멸치 다시물 다진마늘 맛술 참기름 깨소금 실파 소금 
오이소박이,무침, 오이 무 감자녹말 멸치 다시물 소금 고추가루 다진마늘 다진생강 녹말풀 매실청 잔파 까리액젖 통깨 
쪽파김치,무침, 쪽파 풀국 고추가루 새우젓 다진거 새우젓 국물 매실엑기스 소금
무청나물,무침, 무청 다진마늘 된장 매실액기스 참기름 통깨
백일송이새우고추장무침,무침, 백일송이 새우살 미나리 쪽파 고추장 듬뿍 고춧가루 설탕 식초 다진 마늘 참기름 깨소금 소금 
조개젓,무침, 바지락살 소금 사과 배즙 매실청 고추가루 참기름 통깨 쪽파 마늘 다진거 
당근샐러드,무침, 당근 플레인요거트 마요네즈 요거트 레몬즙 꿀 파슬리가루 
꼬시래기초무침,무침, 꼬시래기 양파 당근 파프리카 피망 고추장 식초 설탕 맛술 다진마늘 통깨 
무청들깨나물,무침, 무청 데친거 들깨가루 간장 매실청 마늘 다진거 참기름 멸치 다시마 육수 
물미역무침,무침, 물미역 노랑 파프리카 빨강 파프리카 비율 고추장 고추가루 진간장 식초 설탕 매실청 다진마늘 소금 
과일사라다,무침, 딸기 단감 사과 귤 마요네즈 
두부달래간장무침,무침, 두부 달래 녹말가루 찹쌀가루 포도씨유 간장 멸치다시마육수 물 맛술 고춧가루 참기름 
알배추겉절이,무침, 알배추 굵은소금 소금물 쪽파 무채생략 가능 깨소금 참기름 겉절이 고춧가루 마늘 생강 멸치액젓 새우젓 매실액 찹쌀풀 양파 사과 소금 찹쌀풀 멸치다시마육수 찹쌀가루 
달래오이무침,무침, 달래 오이 양파 고추장 간장 물엿 식초 다진파 다진마늘 고춧가루 참기름 설탕 
굴무침,무침, 굴 고춧가루 설탕 다진 양파 청고추 홍고추 깨소금 멸치액 소스 액젓 마늘 소스 
꽃게무침,무침, 암게 고춧가루 설탕 올리고당 마늘소스 깨소금 멸치액소스 액젓 참기름 생강소스 양파 간 것 실파 다진 청고추 홍고추 
육회,무침,소금 육회 육회용한우 계란 노른자 배큰거 고추장 육회 육회용한우 간장 육회 육회용한우 배큰거 계란 노른자 소금 참기름 다진 마늘 소금 잣 설탕 와인 통깨 청양고추 후추 고추장 참기름 다진 마늘 고추장 잣 설탕 와인 통깨 청양고추 후추 간장 참기름 다진 마늘 국간장 다진잣 설탕 와인 통깨 채썬 대파 후추 
봄동달래꼬막무침,무침, 봄동 달래 꼬막살 국간장 멸치액젓 맛술 설탕 고추가루 다진마늘 다진파 참기름 
섬초무침,무침, 섬초 들깨가루 들기름 소금 간장 다진마늘 통깨 
더덕무침,무침, 더덕 고추장 고춧가루 매실엑기스 통깨 참기름 토마토간거 올리고당 이나 꿀 
콜라비생채보쌈,무침, 콜라비 고기 간장 다진 마늘 다진 생강 청주 매실액기스 참기름 생채 고추가루 마늘 다진거 생강 다진거 매실 엑기스 실파 참기름 깨소금 소금 
오이채무침,무침, 오이 청고추 홍고추 파 흰부분 마늘 다진거 생강 다진거 까나리 고추가루 매실 엑기스 참기름 설탕 깨소금 절임물 물 소금 
무말랭이무침,무침, 무말랭이 찹쌀풀 감자녹말풀 감자 녹말풀 감자 녹말 표고가루 다시마물 무침장 진간장 다시마물 매실청 까나리액젓 고추가루 다진마늘 물엿과 꿀 참기름 통깨 
훈제닭가슴살파인애플샐러드,무침, 훈제닭가슴살 파인애플통조림 적양파 양상추 치커리 새싹 파인애플드레싱 파인애플 파인애플즙 마요네즈 허니머스타드 파슬리가루 다진적양파 후추 
시금치무침,무침,시금치무침 시금치 두부 콩나물무침 콩나물 시금치무침 다진파 다진마늘 소금 국간장 통깨 참기름 콩나물무침 고춧가루 다진파 다진마늘 소금 까나리 액젓 송송썬 실파 통깨 참기름 
봄동무침,무침, 봄동 고추가루 다진마늘 간장 식초 대파 매실청 들기름 큰술 통깨 
꽈리고추찜무침,무침, 꽈리고추 날콩가루 소금 간장 고춧가루 깨소금 참기름 다시마육수 다진 파 다진 홍고추 설탕 
버섯무침,무침, 맛타리 버섯 다진마늘 국간장 들기름 
부추겉절이,무침, 초벌부추 까나리액젓멸치액젓도 가능 고춧가루 요리당 다진마늘 참기름 깨소금 
도토리묵야채무침,무침, 도토리묵 당근 깻잎 배추 상추 부추 저염간장 올리고당 고춧가루 마늘소스 참기름 참깨 
시금치쌈장무침,무침, 시금치 양파 쌈장 다진마늘 들기름 설탕 통깨 
