CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
갈치간장조림,조림, 냉동 갈치살갈치로 대체가능 청피망 홍피망 백일송이 버섯 밀가루 식용유 갈치밑간 향신즙 간장 물또는 다시마 육수 작은 건고추 올리고당또는 꿀물엿 설탕 향신즙생강마늘배양파즙 계피가루 작은술 후춧가루 깨소금 참기름 
소고기장조림,조림, 소고기 장조림용 양파 마늘 메추리알 후추가루 생강가루 간장 설탕 맛술 
귤통조림,조림, 귤 소금 설탕 레몬 즙 내서
우엉조림,조림, 우엉 통깨 참기름 데칠 물 식초 물 조림장 물 다시마 사방 진간장 흑설탕 맛술 물엿 
바지락조림,조림, 바지락살 홍고추 대파 조림장 간장 설탕 청주 생강즙 후추 다시마우린물 
가래떡갈비,조림, 가래떡 돼지고기 다짐육 고기 간장 설탕 마늘 후추 참깨 흑임자 조림 간장 설탕 후추 참기름 물 
참치유부주머니,조림, 캔참치 부추 양파 당근 대파 두부 계란 쯔유 후추 조림장 쯔유 물 
콩나물장조림,조림, 콩나물 참기름 물 간장 고춧가루 다진 마늘 다진 대파 올리고당 참기름 설탕 후추 통깨 
열무김치조림,조림, 열무김치 고춧가루 된장 다진마늘 들기름 멸치육수 설탕 
검은콩자반,조림, 검은콩서리태나 약콩 물 간장 설탕 물엿 통깨 
돼지고기마늘종말이조림,조림, 돼지 불고깃감 마늘종 전분 간장 설탕 청주 
미트볼조림,조림, 쇠고기 양파 중간크기 당근 대파 홍고추 녹말가루 땅콩 반죽 달걀 노른자 청주 다진 마늘 소금 후춧가루 케첩 소스 케첩 돈가스소스 스테이크소스 간장 물엿 설탕 물 다진마늘 
돼지고기사태장조림,조림, 사태 건고추 통마늘 생강 통후추 밑간 무 배 양파 생강즙 후춧가루 월계수잎없으면 생략 물 참치액 맛술 흑설탕 
닭날개간장조림,조림, 닭날개 양배추 파슬리가루 고기밑간 소금 후추 청주 소스 간장 미림 물엿 물 마늘 홍고추 대파 약 
소고기무조림,조림, 소고기 무 다진파 참기름 간장 미림 다진마늘 올리고당 볶은깨 
두부두반장조림,조림, 두부 식용유 두반장 설탕 간장 맛술 물 다진마늘 호두 참기름 후추 
땅콩조림,조림, 땅콩 식물성오일 간장 조청 
돼지갈비강정,조림, 돼지갈비 건고추 간장 다진마늘 설탕 물엿 배즙 사과즙 양파즙 조미술 생강즙 물 참기름 아주 
생선조림,조림, 고등어 감자 무 대파 청양고추 홍고추 고추장 고추가루 간장 술 다진마늘 물엿 생강즙 물
두부참치볼양념조림,조림, 두부 참치캔 양파 당근 브로콜리 달걀 밀가루 소금 후추 식용유 다진마늘 참깨 고추장 케첩 올리고당 다진마늘 간장 땅콩분태
메추리알조림,조림, 메추리 닭안심 물 다시마 간장 올리고당 청주 대파 흰부분 양파 마늘 생강 통후추 
두부감자조림,조림, 두부 감자 유지류 시럽 없으면 꿀이나 올리고당 간장 물 소금 참기름 통깨 
고등어조림,조림, 고등어 무 채썬양파 채썬대파 홍고추 청고추 고추장 된장 굴소스 산들애 마늘 소스 산들애 생강 소스 설탕 요리당 고춧가루 후추 
데리야끼고기말이,조림, 돼지고기다짐육 양파 당근 버섯 파프리카 부추 마늘 참깨 흑임자 후추 데리야끼소스 조림장 물 데리야끼 소스 
양송이버섯달걀장조림,조림, 달걀 양송이버섯 통마늘 당근 물 다시마 간장 올리고당 매실청 쌀올리고당 달걀 삶을 때 식초 소금 
떡조림,조림, 떡볶이떡 마른김 마른고추 다시마 실파 생수 간장 미림 설탕 참기름 통깨 후추 
닭봉조림,조림, 닭봉 마늘 올리브유 브로콜리 우스터소스 진간강 다진마늘 흑설탕 꿀 닭 밑간 맛술 소금 후추가루 
자반고등어감자조림,조림, 작은 자반고등어 감자 중간사이즈 양파 생수 간장 고추가루 미림 청주 간마늘 간생강 매실액 통깨 청양고추 청고추 홍고추 대파 
오징어장조림,조림, 오징어 양파 마른고추 대파 물 진간장 물엿 설탕 후추 미림 포도씨유 
두부조림,조림, 두부 올리브유 다시물 간장 고추가루 마늘 다진거 매실청 참기름 깨소금 파 
새송이버섯간장조림,조림, 새송이버섯 꽈리고추 매추리알 통깨 맛간장 멸치다시물 청주 설탕 
돼지갈비강정,조림, 돼지갈비 유자청 은행 식용유 밑 진간장 양파 마른고추 파인애플주스 생강 소주 핫소스 후춧가루 강정소스 진간장 야채육수 올리고당 케찹 생강 
두부조림,조림, 두부 간장 물 고추가루 설탕 다진마늘 다진대파 들기름 깨소금 
무시래기조림,조림, 삶은 무시래기 들기름 고춧가루 다진 마늘 다진 대파 소금 설탕 멸치육수 
